t,iq_ref,iq_meas,id_ref,id_meas,vd,vq,elec
0.0,-6.38,0.04,-6.33,0.81,0.0,0.0,0.0
0.0011439323425292969,-6.37,0.1,-6.31,0.89,177.31,165.13,1.1846
0.0019986629486083984,-6.46,0.13,-6.39,0.92,178.57,166.2,1.185
0.0027534961700439453,-6.42,0.17,-6.36,0.9,179.83,167.54,1.1855
0.003504037857055664,-6.35,0.13,-6.29,0.93,181.08,169.69,1.1863
0.004239082336425781,-6.37,0.12,-6.31,0.92,182.34,169.69,1.1863
0.0049610137939453125,-6.44,0.12,-6.36,0.99,183.59,171.03,1.1868
0.005750894546508789,-6.43,0.14,-6.35,1.03,184.85,171.3,1.1869
0.006413698196411133,-6.4,0.09,-6.33,0.93,186.11,172.11,1.1872
0.0070743560791015625,-6.4,0.13,-6.32,1.01,187.36,174.26,1.188
0.007722377777099609,-6.4,0.11,-6.32,1.01,188.62,174.79,1.1882
0.008367538452148438,-6.38,0.09,-6.31,0.92,189.88,175.87,1.1886
0.009018898010253906,-6.4,0.08,-6.34,0.89,191.13,178.01,1.1894
0.009663105010986328,-6.29,-0.01,-6.24,0.74,192.39,179.62,1.19
0.010309934616088867,-6.37,0.05,-6.32,0.75,193.65,181.5,1.1907
0.010953664779663086,-6.32,0.01,-6.28,0.66,194.9,183.92,1.1916
0.011618852615356445,-6.38,-0.02,-6.35,0.61,196.16,185.8,1.1923
0.012328386306762695,-6.49,0.05,-6.47,0.59,197.42,187.41,1.1929
0.013019800186157227,-6.4,-0.03,-6.39,0.4,198.67,190.36,1.194
0.01369023323059082,-6.44,-0.03,-6.43,0.35,199.93,193.05,1.195
0.014355182647705078,-6.45,-0.05,-6.44,0.18,201.19,195.19,1.1958
0.015015840530395508,-6.39,-0.05,-6.39,0.09,202.44,198.68,1.1971
0.015665769577026367,-6.38,-0.07,-6.38,0.0,203.7,201.37,1.1981
0.016313791275024414,-6.37,-0.03,-6.37,-0.03,204.96,203.78,1.199
0.016954660415649414,-6.47,0.02,-6.47,-0.04,206.21,206.2,1.1999
0.017599821090698242,-6.44,0.0,-6.44,-0.12,207.47,208.62,1.2008
0.018261194229125977,-6.45,-0.01,-6.45,-0.13,208.73,210.76,1.2016
0.018920421600341797,-6.4,-0.09,-6.4,-0.18,209.98,211.84,1.202
0.019570589065551758,-6.38,-0.17,-6.38,-0.18,211.24,212.64,1.2023
0.020212888717651367,-6.47,-0.13,-6.47,-0.08,212.5,212.64,1.2023
0.020854473114013672,-6.42,-0.21,-6.43,-0.04,213.76,212.91,1.2024
0.021505355834960938,-6.41,-0.23,-6.42,0.06,215.01,212.37,1.2022
0.022437572479248047,-6.39,-0.31,-6.39,0.11,216.27,211.57,1.2019
0.023104429244995117,-6.5,-0.36,-6.51,0.24,217.53,210.76,1.2016
0.023743629455566406,-6.55,-0.37,-6.55,0.42,218.78,209.42,1.2011
0.024396181106567383,-6.42,-0.52,-6.43,0.31,220.04,207.81,1.2005
0.025066137313842773,-6.42,-0.56,-6.43,0.4,221.3,208.35,1.2007
0.025708436965942383,-6.37,-0.65,-6.4,0.36,222.55,207.54,1.2004
0.026360273361206055,-6.31,-0.71,-6.34,0.33,223.81,207.81,1.2005
0.026999950408935547,-6.35,-0.75,-6.39,0.3,225.07,208.62,1.2008
